PMS210	0,39,6,0
PMS211	0,55,8,0
PMS212	0,72,11,0
PMS213	0,95,27,0
PMS214	0,100,34,8
PMS215	0,100,35,27
PMS216	0,95,40,49
PMS217	0,28,0,0
PMS218	2,61,0,0
PMS219	1,88,0,0
PMS220	0,100,13,17
PMS221	0,100,15,30
PMS222	0,100,10,59
PMS223	0,46,0,0
PMS224	1,63,0,0
PMS225	1,83,0,0
PMS226	0,100,0,0
PMS227	0,100,7,19
PMS228	0,100,4,41
PMS229	0,100,15,60
PMS230	0,34,0,0
PMS231	1,52,0,0
PMS232	3,67,0,0
PMS233	11,100,0,0
PMS234	6,100,0,26
PMS235	5,100,0,40
PMS236	1,30,0,0
PMS2365	2,27,0,0
PMS237	3,49,0,0
PMS2375	10,57,0,0
PMS238	6,63,0,0
PMS2385	19,79,0,0
PMS239	11,79,0,0
PMS2395	27,95,0,0
PMS240	18,94,0,0
PMS2405	34,100,0,0
PMS241	27,100,0,2
PMS2415	33,100,0,8
PMS242	10,100,0,49
PMS2425	37,100,0,26
PMS243	5,29,0,0
PMS244	9,38,0,0
PMS245	14,53,0,0
PMS246	29,90,0,0
PMS247	36,100,0,0
PMS248	40,100,0,2
PMS249	40,100,0,28
PMS250	5,18,0,0
PMS251	13,39,0,0
PMS252	24,56,0,0
PMS253	43,95,0,0
PMS254	50,100,0,0
PMS255	51,100,0,25
PMS256	7,20,0,0
PMS2562	19,35,0,0
PMS2563	22,33,0,0
PMS2567	29,36,0,0
PMS257	14,34,0,0
PMS2572	30,47,0,0
PMS2573	30,43,0,0
PMS2577	40,45,0,0
PMS258	43,76,0,0
PMS2582	46,72,0,0
PMS2583	46,63,0,0
PMS2587	59,66,0,0
PMS259	56,100,0,15
PMS2592	60,90,0,0
PMS2593	61,89,0,0
PMS2597	85,100,0,0
PMS260	52,100,0,26
PMS2602	63,100,0,3
PMS2603	69,100,0,2
PMS2607	81,100,0,7
PMS261	48,100,0,40
PMS2612	64,100,0,14
PMS2613	63,100,0,15
PMS2617	79,100,0,15
PMS262	45,100,0,55
PMS2622	58,100,0,44
PMS2623	59,100,0,32
PMS2627	77,100,0,31
PMS263	10,14,0,0
PMS2635	28,27,0,0
PMS264	26,28,0,0
PMS2645	40,36,0,0
PMS265	54,56,0,0
PMS2655	54,49,0,0
PMS266	79,90,0,0
PMS2665	62,60,0,0
PMS267	89,100,0,0
PMS268	82,100,0,12
PMS2685	96,100,0,10
PMS269	78,100,0,33
PMS2695	91,100,0,49
PMS270	31,27,0,0
PMS2705	40,30,0,0
PMS2706	19,9,0,0
PMS2707	17,6,0,0
PMS2708	26,10,0,0
PMS271	43,37,0,0
PMS2715	57,45,0,0
PMS2716	45,29,0,0
PMS2717	29,12,0,0
PMS2718	67,41,0,0
PMS272	58,48,0,0
PMS2725	77,68,0,0
PMS2726	79,66,0,0
PMS2727	71,42,0,0
PMS2728	96,69,0,0
PMS273	100,96,0,8
PMS2735	100,95,0,0
PMS2736	100,91,0,0
PMS2738	100,87,0,2
PMS274	100,100,0,28
PMS2745	100,95,0,15
PMS2746	100,92,0,10
PMS2747	100,86,0,15
PMS2748	100,88,0,15
PMS275	98,100,0,43
PMS2755	100,97,0,30
PMS2756	100,94,0,29
PMS2757	100,82,0,30
PMS2758	100,80,0,26
PMS276	98,100,0,55
PMS2765	100,97,0,45
PMS2766	100,94,0,47
PMS2767	100,78,0,54
PMS2768	100,78,0,44
PMS277	27,7,0,0
PMS278	39,14,0,0
PMS279	68,34,0,0
PMS280	100,72,0,18
PMS281	100,72,0,32
PMS282	100,68,0,54
PMS283	35,9,0,0
PMS284	55,19,0,0
PMS285	89,43,0,0
PMS286	100,66,0,2
PMS287	100,68,0,12
PMS288	100,67,0,23
PMS289	100,66,0,58
PMS290	25,2,0,0
PMS2905	41,2,0,0
PMS291	33,3,0,0
PMS2915	59,7,0,0
PMS292	49,11,0,0
PMS2925	85,24,0,0
PMS293	100,57,0,2
PMS2935	100,46,0,0
PMS294	100,58,0,21
PMS2945	100,45,0,14
PMS295	100,57,0,37
PMS2955	100,45,0,37
PMS296	100,46,0,70
PMS2965	100,38,0,64
PMS297	49,1,0,0
PMS2975	30,0,5,0
PMS298	69,7,0,0
PMS2985	59,0,6,0
PMS299	85,19,0,0
PMS2995	90,11,0,0
PMS300	100,44,0,0
PMS3005	100,36,0,2
PMS301	100,45,0,18
PMS3015	100,33,0,20
PMS302	100,25,0,50
PMS3025	100,17,0,51
PMS303	100,11,0,74
PMS3035	100,0,5,72
PMS304	30,0,8,0
PMS305	51,0,9,0
PMS306	75,0,7,0
PMS307	100,16,0,27
PMS308	100,5,0,47
PMS309	100,0,9,72
PMS310	43,0,10,0
PMS3105	43,0,12,0
PMS311	63,0,12,0
